ORBIT_CNT,t,DETECTOR,LAYER,COLUMN,EVENT,DRIFT_TIME
1897417046,36780.833333333336,4,3,8,1,30.83333333333576
1897417046,36860.0,4,2,12,1,110.0
1897417046,36845.0,4,4,13,1,95.0
1897418311,1235.0,4,4,8,1,60.0
1897418311,1184.1666666666667,4,1,10,1,9.166666666666742
1897418311,1201.6666666666667,4,4,10,1,26.666666666666742
1897418311,1210.8333333333333,4,3,9,1,35.83333333333326
1897431396,15317.5,3,1,16,1,17.5
1897431396,15410.0,3,3,13,1,110.0
1897431396,15316.666666666666,3,2,14,1,16.66666666666606
1897431396,15504.166666666666,3,1,16,1,204.16666666666606
1897431396,15445.833333333334,3,2,14,1,145.83333333333394
1897436757,7690.833333333333,3,4,9,2,115.83333333333303
1897436757,7826.666666666667,3,1,8,2,251.66666666666697
1897436757,7612.5,3,2,8,2,37.5
1897436757,7637.5,3,1,14,2,62.5
1897436757,7753.333333333333,3,1,9,2,178.33333333333303
1897436757,7671.666666666667,3,3,16,2,96.66666666666697
1897436757,7790.833333333333,3,3,11,2,215.83333333333303
1897436757,7832.5,3,3,12,2,257.5
1897436757,7743.333333333333,3,3,14,2,168.33333333333303
1897436757,7729.166666666667,3,2,14,2,154.16666666666697
1897436757,7815.833333333333,3,2,15,2,240.83333333333303
1897439718,16618.333333333332,1,2,2,1,18.33333333333212
1897439718,16762.5,1,4,6,1,162.5
1897439718,16775.0,1,1,1,1,175.0
1897439718,16637.5,1,2,3,1,37.5
1897439718,16871.666666666668,1,4,5,1,271.6666666666679
1897439718,16781.666666666668,1,3,2,1,181.66666666666788
1897439718,16827.5,1,2,2,1,227.5
1897439963,53320.833333333336,2,4,2,1,70.83333333333576
1897439963,53397.5,2,1,2,1,147.5
1897439963,53412.5,2,2,2,1,162.5
1897441949,9696.666666666666,4,3,2,1,171.66666666666606
1897441949,9802.5,4,3,2,1,277.5
1897441949,9655.0,4,2,10,1,130.0
1897441949,9611.666666666666,4,2,5,1,86.66666666666606
1897441949,9738.333333333334,4,1,8,1,213.33333333333394
1897441949,9530.833333333334,4,3,10,1,5.83333333333394
1897441949,9800.833333333334,4,4,10,1,275.83333333333394
1897441949,9755.0,4,1,6,1,230.0
1897441949,9747.5,4,2,8,1,222.5
1897441949,9769.166666666666,4,2,9,1,244.16666666666606
1897441949,9763.333333333334,4,3,6,1,238.33333333333394
1897441949,9835.0,4,2,7,1,310.0
1897443705,51685.833333333336,2,1,12,1,135.83333333333576
1897443705,51761.666666666664,2,4,7,1,211.66666666666424
1897443705,51701.666666666664,2,2,9,1,151.66666666666424
1897452168,27976.666666666668,3,3,16,1,1.6666666666678793
1897452168,28100.833333333332,3,1,16,1,125.83333333333212
1897452168,28045.833333333332,3,3,16,1,70.83333333333212
1897452168,28095.833333333332,3,2,16,1,120.83333333333212
1897455529,23992.5,1,4,15,1,92.5
1897455529,24080.0,1,1,11,1,180.0
1897455529,24018.333333333332,1,1,12,1,118.33333333333212
1897455529,23999.166666666668,1,3,14,1,99.16666666666788
1897455529,24040.0,1,4,14,1,140.0
1897455529,24074.166666666668,1,3,16,1,174.16666666666788
1897455529,24098.333333333332,1,3,15,1,198.33333333333212
