ORBIT_CNT,t,DETECTOR,LAYER,COLUMN,EVENT,DRIFT_TIME
1897516127,27483.33333333333,4,1,7,1,208.3333333333321
1897516127,27394.16666666667,4,2,7,1,119.16666666666788
1897516127,27414.16666666667,4,3,7,1,139.16666666666788
1897516127,27408.33333333333,4,4,7,1,133.33333333333212
1897566854,50360.83333333334,2,1,3,1,85.83333333333576
1897566854,50461.66666666666,2,2,3,1,186.66666666666424
1897566854,50363.33333333334,2,3,3,1,88.33333333333576
1897566854,50375.83333333334,2,4,3,1,100.83333333333576
1897619369,22503.33333333333,2,1,10,1,128.33333333333212
1897619369,22636.66666666667,2,2,10,1,261.6666666666679
1897619369,22645.83333333333,2,3,10,1,270.8333333333321
1897619369,22547.5,2,4,10,1,172.5
1897747517,32466.66666666667,3,1,2,2,241.66666666666785
1897747517,32240.0,3,2,2,2,15.0
1897747517,32415.83333333333,3,3,2,2,190.8333333333321
1897747517,32263.33333333333,3,4,2,2,38.33333333333212
1897759247,39462.5,4,1,13,1,162.5
1897759247,39309.16666666666,4,2,13,1,9.16666666666424
1897759247,39394.16666666666,4,3,13,1,94.16666666666424
1897759247,39368.333333333336,4,4,13,1,68.33333333333576
1918245504,28857.5,2,1,14,1,157.5
1918245504,28935.0,2,2,14,1,235.0
1918245504,28909.16666666667,2,3,14,1,209.16666666666785
1918245504,28898.33333333333,2,4,14,1,198.3333333333321
1918304242,49322.5,1,1,2,1,47.5
1918304242,49383.33333333334,1,2,2,1,108.33333333333576
1918304242,49319.16666666666,1,3,2,1,44.16666666666424
1918304242,49364.16666666666,1,4,2,1,89.16666666666424
1918306831,52078.33333333334,2,1,3,2,153.33333333333573
1918306831,52008.33333333334,2,2,3,2,83.33333333333576
1918306831,52079.16666666666,2,3,3,2,154.16666666666427
1918306831,51929.16666666666,2,4,3,2,4.166666666664241
1918307610,73130.0,3,1,5,1,205.0
1918307610,72936.66666666669,3,2,5,1,11.666666666671514
1918307610,73115.83333333331,3,3,5,1,190.83333333332848
1918307610,72956.66666666669,3,4,5,1,31.66666666667152
1918308760,19831.666666666668,4,1,11,1,56.66666666666788
1918308760,19844.166666666668,4,2,11,1,69.16666666666788
1918308760,19845.0,4,3,11,1,70.0
1918308760,19848.33333333333,4,4,11,1,73.33333333333213
1918311939,31423.33333333333,3,1,3,1,48.33333333333212
1918311939,31483.33333333333,3,2,3,1,108.33333333333212
1918311939,31418.33333333333,3,3,3,1,43.33333333333212
1918311939,31516.66666666667,3,4,3,1,141.66666666666788
1918312911,78671.66666666669,3,1,3,1,196.66666666667152
1918312911,78615.83333333331,3,2,3,1,140.83333333332848
1918312911,78673.33333333331,3,3,3,1,198.33333333332848
1918312911,78615.0,3,4,3,1,140.0
1918317413,16294.166666666664,3,1,3,1,244.16666666666612
1918317413,16261.666666666664,3,2,3,1,211.66666666666612
1918317413,16231.666666666664,3,3,3,1,181.66666666666612
1918317413,16271.666666666664,3,4,3,1,221.66666666666612
1918317413,16065.833333333336,4,1,3,1,15.83333333333394
1918317413,16153.333333333336,4,2,2,1,103.33333333333393
1918317413,16080.0,4,3,3,1,30.0
1918317413,16134.166666666664,4,4,2,1,84.16666666666606
1918319291,42054.16666666666,4,1,3,2,104.16666666666424
1918319291,42007.5,4,2,3,2,57.5
1918319291,41951.66666666666,4,3,3,2,1.6666666666642411
1918319291,42024.16666666666,4,4,3,2,74.16666666666424
1918325255,78205.0,2,1,8,1,55.0
1918325255,78285.0,2,2,8,1,135.0
1918325255,78210.83333333331,2,3,8,1,60.833333333328476
1918325255,78188.33333333331,2,4,8,1,38.333333333328476
1918329642,49500.83333333334,4,1,9,1,75.83333333333576
1918329642,49551.66666666666,4,2,10,1,126.66666666666424
1918329642,49465.83333333334,4,3,9,1,40.83333333333576
1918329642,49466.66666666666,4,4,9,1,41.66666666666424
1918339347,26596.66666666667,3,1,4,1,196.66666666666785
1918339347,26520.83333333333,3,2,4,1,120.83333333333212
1918339347,26612.5,3,3,4,1,212.5
1918339347,26530.0,3,4,4,1,130.0
1918341542,15535.833333333336,4,1,5,1,10.83333333333394
1918341542,15582.5,4,2,5,1,57.5
1918341542,15551.666666666664,4,3,5,1,26.66666666666606
1918341542,15590.0,4,4,5,1,65.0
1918344393,54801.66666666666,3,1,9,1,26.666666666664238
1918344393,54913.33333333334,3,2,9,1,138.33333333333576
1918344393,54792.5,3,3,9,1,17.5
1918344393,54923.33333333334,3,4,9,1,148.33333333333573
1918506194,28674.16666666667,3,1,4,1,224.16666666666785
1918506194,28482.5,3,2,4,1,32.5
1918506194,28661.66666666667,3,3,4,1,211.66666666666785
1918506194,28487.5,3,4,4,1,37.5
1918509675,6580.833333333332,3,1,2,1,80.83333333333303
1918509675,6582.5,3,2,2,1,82.5
1918509675,6618.333333333332,3,3,2,1,118.33333333333306
1918509675,6544.166666666668,3,4,2,1,44.16666666666696
1918509873,9055.833333333334,4,1,5,1,130.83333333333394
1918509873,8978.333333333334,4,2,5,1,53.33333333333394
1918509873,9035.833333333334,4,3,5,1,110.83333333333393
1918509873,8982.5,4,4,5,1,57.5
1918510421,86875.0,1,1,1,1,75.0
1918510421,86910.0,1,2,1,1,110.0
1918510421,86922.5,1,3,1,1,122.5
1918510421,86854.16666666669,1,4,1,1,54.166666666671524
1918510648,58088.33333333334,4,1,8,1,238.33333333333576
1918510648,58051.66666666666,4,2,8,1,201.66666666666424
1918510648,58090.83333333334,4,3,8,1,240.83333333333576
1918510648,57971.66666666666,4,4,8,1,121.66666666666424
1918518081,40340.0,4,1,5,1,140.0
1918518081,40259.16666666666,4,2,5,1,59.16666666666424
1918518081,40270.833333333336,4,3,5,1,70.83333333333576
1918518081,40420.833333333336,4,4,5,1,220.83333333333576
1918518527,45115.83333333334,4,1,10,1,90.83333333333576
1918518527,45130.83333333334,4,2,10,1,105.83333333333576
1918518527,45073.33333333334,4,3,10,1,48.33333333333576
1918518527,45134.16666666666,4,4,10,1,109.16666666666424
1918522866,82075.83333333331,3,1,10,1,125.83333333332848
1918522866,82042.5,3,2,10,1,92.5
1918522866,82089.16666666669,3,3,10,1,139.16666666667152
